,single,danceability,energy,instrumentalness,explicit,collab,timesig_0,timesig_1,timesig_3,timesig_4,timesig_5,track_number,duration_s
9671,0,0.783,0.0262,0.945,0,0,0,0,1,0,0,0.3333333333333333,0.019287833827893175
9212,1,0.924,0.73,0.0,1,1,0,0,0,1,0,0.0,0.04599406528189911
1875,0,0.664,0.899,0.0,1,0,0,0,0,1,0,0.20833333333333334,0.05871131835523527
1424,0,0.442,0.996,0.946,0,0,0,0,0,1,0,0.625,0.004874947011445528
8488,0,0.546,0.366,0.0,0,0,0,0,0,1,0,0.041666666666666664,0.05404832556167868
4446,0,0.523,0.983,0.408,0,0,0,0,0,1,0,0.9999999999999999,0.022043238660449344
8480,0,0.46,0.303,0.578,0,0,0,0,0,1,0,0.9999999999999999,0.025010597710894446
2235,0,0.431,0.962,0.000211,1,0,0,0,0,1,0,0.16666666666666666,0.03815175922000848
5891,0,0.507,0.941,0.0338,0,0,0,0,0,1,0,0.9999999999999999,0.03391267486222976
477,0,0.322,0.767,0.0,0,0,0,0,0,1,0,0.29166666666666663,0.05553200508690123
7419,0,0.413,0.968,0.962,0,0,0,0,0,1,0,0.9999999999999999,0.032005086901229336
8900,0,0.678,0.862,0.144,0,0,0,0,0,1,0,0.08333333333333334,0.07312420517168292
5647,0,0.709,0.496,0.195,0,0,0,0,0,1,0,0.20833333333333334,0.03433658329800763
6797,0,0.886,0.893,0.0737,0,0,0,0,0,1,0,0.3333333333333333,0.026706231454005934
3893,0,0.493,0.961,0.67,0,0,0,0,0,1,0,0.125,0.014412886816447645
1650,0,0.809,0.55,0.746,0,0,0,0,0,1,0,0.125,0.09453158117846545
9114,0,0.686,0.538,3.13e-06,0,0,0,0,0,1,0,0.08333333333333334,0.03624417125900806
866,0,0.691,0.272,1.3e-06,0,0,0,1,0,0,0,0.08333333333333334,0.03539635438745231
1784,0,0.648,0.916,0.849,0,0,0,0,0,1,0,0.7083333333333334,0.02331496396778296
4650,0,0.742,0.91,0.00144,0,0,0,0,0,1,0,0.29166666666666663,0.056167867740568034
5328,0,0.483,0.926,0.945,0,0,0,0,0,1,0,0.9999999999999999,0.011233573548113607
1363,0,0.344,0.537,0.000127,1,0,0,0,0,0,1,0.29166666666666663,0.04090716405256464
3722,0,0.49,0.798,0.0,0,0,0,0,0,1,0,0.0,0.03793980500211954
4907,0,0.654,0.378,1.07e-05,1,0,0,0,0,1,0,0.49999999999999994,0.037091988130563795
4391,1,0.706,0.716,0.0,1,0,0,0,0,1,0,0.0,0.049385332768122084
1907,0,0.831,0.651,0.0,1,0,0,0,0,1,0,0.37499999999999994,0.04345061466723188
6522,0,0.564,0.853,0.908,0,0,0,0,1,0,0,0.125,0.06867316659601526
1865,1,0.699,0.839,0.655,0,0,0,0,0,1,0,0.0,0.04599406528189911
3268,0,0.447,0.966,0.000198,0,0,0,0,0,1,0,0.041666666666666664,0.04345061466723188
3709,0,0.623,0.277,0.0367,0,0,0,0,0,1,0,0.24999999999999997,0.08965663416701992
992,0,0.635,0.926,4.53e-06,0,0,0,0,0,1,0,0.16666666666666666,0.03603221704111912
5081,1,0.483,0.412,0.0,0,0,0,0,1,0,0,0.041666666666666664,0.03899957609156422
5138,0,0.599,0.586,0.0,0,0,0,0,0,1,0,0.0,0.046841882153454854
2329,0,0.628,0.629,0.0,1,1,0,0,0,1,0,0.37499999999999994,0.048749470114455275
738,0,0.329,0.509,0.0,0,0,0,0,1,0,0,0.24999999999999997,0.05447223399745655
4582,0,0.442,0.684,0.0,1,0,0,0,0,1,0,0.041666666666666664,0.03984739296311997
7532,0,0.753,0.611,0.00433,0,0,0,0,0,1,0,0.20833333333333334,0.04853751589656634
7950,0,0.386,0.515,0.878,0,0,0,0,0,1,0,0.37499999999999994,0.06930902924968207
979,0,0.671,0.634,9.96e-05,1,0,0,0,0,0,1,0.9999999999999999,0.017592200084781687
7873,0,0.2,0.282,0.887,0,0,0,0,1,0,0,0.041666666666666664,0.06485799067401442
508,0,0.944,0.76,0.0,1,0,0,0,0,1,0,0.41666666666666663,0.041966935142009325
7124,1,0.68,0.246,0.0,1,0,0,0,0,1,0,0.0,0.03221704111911827
1071,0,0.58,0.916,0.0259,0,0,0,0,0,1,0,0.041666666666666664,0.06061890631623569
1331,0,0.757,0.848,0.0,1,1,0,0,0,1,0,0.29166666666666663,0.04090716405256464
1033,0,0.679,0.715,0.0,0,0,0,0,0,1,0,0.0,0.041331072488342516
163,0,0.845,0.481,0.000504,0,0,0,0,0,1,0,0.49999999999999994,0.03391267486222976
7799,1,0.671,0.833,0.0,1,1,0,0,0,1,0,0.0,0.0453582026282323
9502,1,0.586,0.474,0.0,1,1,0,0,0,1,0,0.0,0.039423484527342095
4025,1,0.886,0.427,0.00099,1,1,0,0,0,1,0,0.0,0.033488766426451884
4739,0,0.453,0.994,0.843,0,0,0,0,0,1,0,0.9999999999999999,0.004874947011445528
2762,0,0.669,0.449,0.0,0,0,0,0,0,1,0,0.0,0.04111911827045358
679,0,0.623,0.155,0.00939,0,0,0,0,0,1,0,0.29166666666666663,0.0025434506146672312
2778,0,0.399,0.672,2.45e-05,0,0,0,0,0,0,1,0.20833333333333334,0.055955913522679104
8706,0,0.488,0.867,0.0,0,0,0,0,0,1,0,0.5833333333333334,0.04111911827045358
9194,0,0.831,0.727,0.0,1,1,0,0,0,1,0,0.041666666666666664,0.04111911827045358
1613,0,0.597,0.427,1.33e-05,1,0,0,0,0,1,0,0.125,0.042602797795676134
8437,0,0.73,0.792,0.0,0,1,0,0,0,1,0,0.16666666666666666,0.032005086901229336
8365,0,0.863,0.633,0.0,1,0,0,0,0,1,0,0.08333333333333334,0.03327681220856295
6632,1,0.671,0.565,6.51e-05,1,0,0,0,0,1,0,0.0,0.04048325561678678
8847,0,0.522,0.789,0.796,0,0,0,0,0,1,0,0.9999999999999999,0.042602797795676134
2819,1,0.715,0.704,0.95,0,0,0,0,0,1,0,0.0,0.05002119542178889
5600,0,0.687,0.776,0.835,0,0,0,0,0,1,0,0.4583333333333333,0.0777871979652395
8206,0,0.483,0.953,0.236,0,0,0,0,0,1,0,0.9999999999999999,0.013988978380669776
8184,0,0.503,0.978,0.768,0,0,0,0,0,1,0,0.9999999999999999,0.01844001695633743
3839,0,0.501,1.0,0.937,0,0,0,0,0,1,0,0.9999999999999999,0.012081390419669352
5491,1,0.673,0.463,4.9e-06,1,0,0,0,0,1,0,0.0,0.054684188215345486
3871,0,0.539,0.996,0.0,0,0,0,0,0,1,0,0.9999999999999999,0.010809665112335736
4975,0,0.344,0.83,0.036,0,0,0,0,0,1,0,0.08333333333333334,0.09283594743535396
8445,0,0.829,0.52,0.0,1,1,0,0,0,1,0,0.41666666666666663,0.037091988130563795
1893,0,0.474,0.688,0.0,1,0,0,0,0,1,0,0.08333333333333334,0.03899957609156422
96,0,0.673,0.758,0.0,0,1,0,0,0,1,0,0.08333333333333334,0.044510385756676554
4881,0,0.565,0.618,6.37e-05,0,0,0,0,0,1,0,0.16666666666666666,0.032005086901229336
1482,0,0.711,0.646,1.68e-06,0,0,0,0,0,1,0,0.6666666666666666,0.03836371343789741
8598,0,0.656,0.294,0.887,0,0,0,0,0,1,0,0.9999999999999999,0.025646460364561256
5133,0,0.473,0.371,0.0,0,1,0,0,0,1,0,0.37499999999999994,0.04027130139889784
8537,0,0.557,0.585,0.0,0,1,0,0,0,1,0,0.16666666666666666,0.03751589656634167
6176,1,0.509,0.575,1.4e-06,0,0,0,0,0,1,0,0.041666666666666664,0.04726579058923273
5571,0,0.69,0.803,6.49e-05,1,0,0,0,0,1,0,0.041666666666666664,0.03370072064434082
1586,1,0.799,0.835,0.854,0,0,0,0,0,1,0,0.0,0.07439593047901653
3263,0,0.421,0.459,0.0,0,0,0,0,0,1,0,0.3333333333333333,0.04959728698601102
8361,1,0.306,0.664,7.5e-06,0,0,0,0,0,1,0,0.08333333333333334,0.04726579058923273
2469,1,0.867,0.477,0.175,0,0,0,0,0,1,0,0.041666666666666664,0.04323866044934294
6966,0,0.829,0.539,1.78e-06,1,0,0,0,0,1,0,0.6666666666666666,0.02755404832556168
1585,0,0.807,0.702,0.0,1,1,0,0,0,1,0,0.37499999999999994,0.04641797371767698
2124,0,0.618,0.432,0.843,0,0,0,0,0,1,0,0.49999999999999994,0.06019499788045782
704,0,0.753,0.59,0.0,1,0,0,0,0,1,0,0.16666666666666666,0.060830860534124634
8548,0,0.737,0.281,0.821,0,0,0,0,0,1,0,0.5416666666666666,0.019711742263671048
976,0,0.301,0.69,0.000643,0,0,0,0,0,1,0,0.20833333333333334,0.06252649427723611
8596,0,0.616,0.444,0.889,0,0,0,0,0,1,0,0.9999999999999999,0.023526918185671895
5606,0,0.703,0.521,0.644,0,0,0,0,0,1,0,0.41666666666666663,0.055955913522679104
3280,0,0.776,0.762,0.0,1,0,0,0,0,1,0,0.24999999999999997,0.04599406528189911
2861,0,0.719,0.41,0.0,1,1,0,0,0,1,0,0.08333333333333334,0.10576515472657906
3612,0,0.534,0.666,0.0615,0,0,0,0,0,1,0,0.20833333333333334,0.0476896990250106
940,0,0.421,0.0533,0.000437,0,0,0,0,0,1,0,0.41666666666666663,0.03899957609156422
8994,1,0.647,0.608,0.0,1,1,0,0,0,1,0,0.0,0.03306485799067401
8489,0,0.795,0.574,0.0,1,1,0,0,0,1,0,0.6666666666666666,0.046206019499788045
6453,0,0.592,0.891,0.0,0,0,0,0,0,1,0,0.0,0.032852903772785075
9412,0,0.702,0.825,0.0,0,0,0,0,0,1,0,0.041666666666666664,0.03899957609156422
5466,0,0.614,0.824,0.0,0,0,0,0,0,1,0,0.9999999999999999,0.03433658329800763
6520,0,0.81,0.763,0.878,0,0,0,0,0,1,0,0.125,0.07248834251801611
2202,0,0.641,0.773,9.14e-05,0,0,0,0,0,1,0,0.08333333333333334,0.06210258584145824
8515,0,0.51,0.412,0.0709,1,0,0,0,0,1,0,0.041666666666666664,0.038787621873675286
2261,1,0.613,0.661,0.0,0,0,0,0,0,1,0,0.08333333333333334,0.04472233997456549
9557,0,0.637,0.0126,0.937,0,0,0,0,1,0,0,0.20833333333333334,0.027342094107672743
139,0,0.544,0.657,0.1,0,0,0,0,0,1,0,0.49999999999999994,0.06485799067401442
9413,0,0.852,0.302,0.945,0,0,0,0,0,1,0,0.5833333333333334,0.030309453158117845
3359,0,0.548,0.695,0.0,0,0,0,0,0,1,0,0.29166666666666663,0.03815175922000848
7935,1,0.759,0.538,0.0,1,1,0,0,0,1,0,0.0,0.03497244595167444
3256,0,0.558,0.818,0.0,0,0,0,0,0,1,0,0.24999999999999997,0.03497244595167444
6877,0,0.823,0.54,0.0,1,0,0,0,0,1,0,0.041666666666666664,0.035820262823230184
4096,0,0.535,0.887,0.921,0,0,0,0,0,0,1,0.16666666666666666,0.03052140737600678
5654,0,0.272,0.807,0.000117,1,0,0,0,0,1,0,0.3333333333333333,0.06252649427723611
1531,0,0.844,0.592,0.0,1,0,0,0,0,1,0,0.16666666666666666,0.04281475201356507
9669,0,0.831,0.0194,0.922,0,0,0,0,0,1,0,0.37499999999999994,0.024586689275116574
8776,0,0.37,0.91,0.884,0,0,0,0,0,1,0,0.9999999999999999,0.013565069944891903
5074,0,0.521,0.621,0.0579,0,0,0,0,0,1,0,0.041666666666666664,0.051716829164900384
